metric,arm,seed_index,value
aggregate_throughput_mbps,E_full_umro,15,140.39750320090982
aggregate_throughput_mbps,E_full_umro,16,138.45030579751474
aggregate_throughput_mbps,E_full_umro,17,140.41631390745823
aggregate_throughput_mbps,E_full_umro,18,140.78554915924065
aggregate_throughput_mbps,E_full_umro,19,138.48380770014055
aggregate_throughput_mbps,E_full_umro,20,140.1816456769084
aggregate_throughput_mbps,E_full_umro,21,140.57037100288463
aggregate_throughput_mbps,E_full_umro,22,140.4768056566875
aggregate_throughput_mbps,E_full_umro,23,140.81136615129685
aggregate_throughput_mbps,E_full_umro,24,140.31855867127936
aggregate_throughput_mbps,E_full_umro,25,140.60122185552746
aggregate_throughput_mbps,E_full_umro,26,140.76711335973786
aggregate_throughput_mbps,E_full_umro,27,140.7356279416519
aggregate_throughput_mbps,E_full_umro,28,140.75120249779766
aggregate_throughput_mbps,E_full_umro,29,140.38003023762408
prb_utilisation,A_hard_static,0,0.5642864779874214
prb_utilisation,A_hard_static,1,0.5614932389937107
prb_utilisation,A_hard_static,2,0.5586816037735849
prb_utilisation,A_hard_static,3,0.5613937893081761
prb_utilisation,A_hard_static,4,0.5586989779874214
prb_utilisation,A_hard_static,5,0.5603472484276729
prb_utilisation,A_hard_static,6,0.56048356918239
prb_utilisation,A_hard_static,7,0.5601139150943396
prb_utilisation,A_hard_static,8,0.5589011006289308
prb_utilisation,A_hard_static,9,0.563212893081761
prb_utilisation,A_hard_static,10,0.558790644654088
prb_utilisation,A_hard_static,11,0.5635946540880503
prb_utilisation,A_hard_static,12,0.5581878144654088
prb_utilisation,A_hard_static,13,0.5749650157232704
prb_utilisation,A_hard_static,14,0.5604208333333334
prb_utilisation,A_hard_static,15,0.5593426100628931
prb_utilisation,A_hard_static,16,0.5611557389937107
prb_utilisation,A_hard_static,17,0.560217216981132
prb_utilisation,A_hard_static,18,0.5576312893081761
prb_utilisation,A_hard_static,19,0.5600123427672956
prb_utilisation,A_hard_static,20,0.5585977201257861
prb_utilisation,A_hard_static,21,0.564643789308176
prb_utilisation,A_hard_static,22,0.5596511006289309
prb_utilisation,A_hard_static,23,0.5604018867924528
prb_utilisation,A_hard_static,24,0.5594191823899372
prb_utilisation,A_hard_static,25,0.5580022798742138
prb_utilisation,A_hard_static,26,0.5599666666666666
prb_utilisation,A_hard_static,27,0.5576268867924529
prb_utilisation,A_hard_static,28,0.5581845911949685
prb_utilisation,A_hard_static,29,0.5616016509433962
prb_utilisation,B_soft_pool,0,0.5855802672955975
prb_utilisation,B_soft_pool,1,0.5784316823899371
prb_utilisation,B_soft_pool,2,0.577523820754717
prb_utilisation,B_soft_pool,3,0.581003537735849
prb_utilisation,B_soft_pool,4,0.578899213836478
prb_utilisation,B_soft_pool,5,0.5785449685534592
prb_utilisation,B_soft_pool,6,0.5780434748427673
prb_utilisation,B_soft_pool,7,0.5805776729559748
prb_utilisation,B_soft_pool,8,0.5792404874213837
prb_utilisation,B_soft_pool,9,0.5894955188679245
prb_utilisation,B_soft_pool,10,0.5722857704402515
prb_utilisation,B_soft_pool,11,0.5930461477987421
prb_utilisation,B_soft_pool,12,0.5742791666666667
prb_utilisation,B_soft_pool,13,0.5941661163522013
prb_utilisation,B_soft_pool,14,0.5802330188679246
prb_utilisation,B_soft_pool,15,0.5735955974842767
prb_utilisation,B_soft_pool,16,0.5832125786163522
prb_utilisation,B_soft_pool,17,0.5810938679245283
prb_utilisation,B_soft_pool,18,0.5740858490566038
prb_utilisation,B_soft_pool,19,0.5881866352201258
prb_utilisation,B_soft_pool,20,0.5734513364779874
prb_utilisation,B_soft_pool,21,0.5810555817610062
prb_utilisation,B_soft_pool,22,0.5762090408805032
prb_utilisation,B_soft_pool,23,0.5763613993710692
prb_utilisation,B_soft_pool,24,0.5736326257861635
prb_utilisation,B_soft_pool,25,0.5748363993710692
prb_utilisation,B_soft_pool,26,0.5836699685534591
prb_utilisation,B_soft_pool,27,0.5745378144654089
prb_utilisation,B_soft_pool,28,0.5770692610062893
prb_utilisation,B_soft_pool,29,0.576818003144654
prb_utilisation,C_no_medium,0,0.5936117924528301
prb_utilisation,C_no_medium,1,0.5856244496855346
prb_utilisation,C_no_medium,2,0.5847003144654088
prb_utilisation,C_no_medium,3,0.587947248427673
prb_utilisation,C_no_medium,4,0.5863125
prb_utilisation,C_no_medium,5,0.5864087264150943
prb_utilisation,C_no_medium,6,0.5845606132075472
prb_utilisation,C_no_medium,7,0.5893676886792453
prb_utilisation,C_no_medium,8,0.5872557389937106
prb_utilisation,C_no_medium,9,0.5968121069182389
prb_utilisation,C_no_medium,10,0.5792724842767295
prb_utilisation,C_no_medium,11,0.5999629716981132
prb_utilisation,C_no_medium,12,0.5821317610062893
prb_utilisation,C_no_medium,13,0.6021042452830189
prb_utilisation,C_no_medium,14,0.588173820754717
prb_utilisation,C_no_medium,15,0.5799036163522012
prb_utilisation,C_no_medium,16,0.5916915880503145
prb_utilisation,C_no_medium,17,0.589639858490566
prb_utilisation,C_no_medium,18,0.5805713836477987
prb_utilisation,C_no_medium,19,0.5956889150943396
prb_utilisation,C_no_medium,20,0.5802040880503144
prb_utilisation,C_no_medium,21,0.5886958333333333
prb_utilisation,C_no_medium,22,0.5834297955974843
prb_utilisation,C_no_medium,23,0.5817688679245283
prb_utilisation,C_no_medium,24,0.5797066823899371
prb_utilisation,C_no_medium,25,0.5822373427672956
prb_utilisation,C_no_medium,26,0.5932324685534591
prb_utilisation,C_no_medium,27,0.581833962264151
prb_utilisation,C_no_medium,28,0.5851368710691824
prb_utilisation,C_no_medium,29,0.5836681603773585
prb_utilisation,D_no_slow,0,0.5770087264150944
prb_utilisation,D_no_slow,1,0.5704244496855346
prb_utilisation,D_no_slow,2,0.5490224842767295
prb_utilisation,D_no_slow,3,0.5506735062893082
prb_utilisation,D_no_slow,4,0.5701993710691824
prb_utilisation,D_no_slow,5,0.5801514937106919
prb_utilisation,D_no_slow,6,0.5704236635220126
prb_utilisation,D_no_slow,7,0.5515821540880503
prb_utilisation,D_no_slow,8,0.5502134433962265
prb_utilisation,D_no_slow,9,0.5889764150943396
prb_utilisation,D_no_slow,10,0.5741273584905661
prb_utilisation,D_no_slow,11,0.5835193396226415
prb_utilisation,D_no_slow,12,0.5758496069182389
prb_utilisation,D_no_slow,13,0.5861889937106918
prb_utilisation,D_no_slow,14,0.5726536949685535
prb_utilisation,D_no_slow,15,0.5667381289308177
prb_utilisation,D_no_slow,16,0.5743900157232704
prb_utilisation,D_no_slow,17,0.5740213836477988
prb_utilisation,D_no_slow,18,0.5476727987421384
prb_utilisation,D_no_slow,19,0.5770466981132075
prb_utilisation,D_no_slow,20,0.5462044811320754
prb_utilisation,D_no_slow,21,0.5832417452830189
prb_utilisation,D_no_slow,22,0.5687941037735849
prb_utilisation,D_no_slow,23,0.5675238993710692
prb_utilisation,D_no_slow,24,0.5750838836477987
prb_utilisation,D_no_slow,25,0.5760360062893082
prb_utilisation,D_no_slow,26,0.5842812893081761
prb_utilisation,D_no_slow,27,0.567260534591195
prb_utilisation,D_no_slow,28,0.570551179245283
prb_utilisation,D_no_slow,29,0.578786713836478
