metric,arm,n_seeds,mean,sd,ci_low,ci_high
throughput_URLLC_mbps,E_full_umro,30,25.221998621094897,0.03254271866362884,25.209846970239106,25.23415027195069
mean_hol_delay_URLLC_ms,A_hard_static,30,0.00043138888888888887,0.000901157151315207,9.489127840434282e-05,0.0007678864993734349
mean_hol_delay_URLLC_ms,B_soft_pool,30,0.019026111111111115,0.01833640941844373,0.012179183308155202,0.025873038914067028
mean_hol_delay_URLLC_ms,C_no_medium,30,0.42360986111111115,1.939548005608885,-0.30062926672018037,1.1478489889424026
mean_hol_delay_URLLC_ms,D_no_slow,30,0.0008450000000000002,0.0013254203049124942,0.0003500799243618826,0.0013399200756381178
mean_hol_delay_URLLC_ms,E_full_umro,30,0.010589583333333331,0.021826113539057466,0.0024395785962702202,0.01873958807039644
sla_satisfaction_URLLC,A_hard_static,30,0.8972222222222223,0.009858513769428817,0.8935409926814033,0.9009034517630412
sla_satisfaction_URLLC,B_soft_pool,30,0.8962222222222221,0.010836059191398373,0.89217597122188,0.9002684732225643
sla_satisfaction_URLLC,C_no_medium,30,0.8788333333333332,0.0272674774350415,0.8686514899251757,0.8890151767414908
sla_satisfaction_URLLC,D_no_slow,30,0.8969444444444445,0.010302729368440951,0.8930973420729108,0.9007915468159783
sla_satisfaction_URLLC,E_full_umro,30,0.8959444444444444,0.01112178605978565,0.8917915012780098,0.9000973876108791
mean_sfc_latency_URLLC_ms,A_hard_static,30,0.7110352673483317,1.1292025708167404e-16,0.7110352673483317,0.7110352673483317
mean_sfc_latency_URLLC_ms,B_soft_pool,30,0.7110352673483317,1.1292025708167404e-16,0.7110352673483317,0.7110352673483317
mean_sfc_latency_URLLC_ms,C_no_medium,30,0.8167790529741139,3.387607712450221e-16,0.8167790529741138,0.816779052974114
mean_sfc_latency_URLLC_ms,D_no_slow,30,0.7110352673483317,1.1292025708167404e-16,0.7110352673483317,0.7110352673483317
mean_sfc_latency_URLLC_ms,E_full_umro,30,0.8167790529741139,3.387607712450221e-16,0.8167790529741138,0.816779052974114
throughput_mMTC_mbps,A_hard_static,30,3.5816296121411195,0.008725423159831698,3.578371485587427,3.584887738694812
throughput_mMTC_mbps,B_soft_pool,30,3.581629612141116,0.008725423159830364,3.5783714855874242,3.5848877386948077
throughput_mMTC_mbps,C_no_medium,30,3.5816296121411213,0.008725423159830886,3.578371485587429,3.5848877386948135
throughput_mMTC_mbps,D_no_slow,30,3.5813847269592163,0.007598685619527248,3.5785473311175893,3.5842221228008433
throughput_mMTC_mbps,E_full_umro,30,3.5815750932302466,0.008471064985580186,3.578411945579754,3.584738240880739
mean_hol_delay_mMTC_ms,A_hard_static,30,0.0001302777777777778,8.694014470412946e-05,9.781379421461863e-05,0.00016274176134093696
mean_hol_delay_mMTC_ms,B_soft_pool,30,0.00021763888888888888,0.00010021339380329077,0.00018021859265738394,0.0002550591851203938
mean_hol_delay_mMTC_ms,C_no_medium,30,0.00414763888888889,0.0004004931157858101,0.003998092301725096,0.004297185476052684
mean_hol_delay_mMTC_ms,D_no_slow,30,0.00013416666666666663,8.673654344824134e-05,0.00010177870906190773,0.00016655462427142553
mean_hol_delay_mMTC_ms,E_full_umro,30,0.00013805555555555557,9.034929380710824e-05,0.00010431857479622075,0.00017179253631489038
sla_satisfaction_mMTC,A_hard_static,30,0.8386111111111111,0.013834568102580193,0.8334451984822098,0.8437770237400124
sla_satisfaction_mMTC,B_soft_pool,30,0.8384444444444445,0.013596070351063201,0.8333675883395627,0.8435213005493264
